Time,Event,Severity,Source,Destination,Confidence
12:44:53,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:44:53,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:44:54,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:44:54,NEW_THREAT,Low,52.182.143.211,192.168.0.127,0.09
12:44:55,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:44:55,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:44:56,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:44:56,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:44:57,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:44:57,NEW_THREAT,Low,192.168.0.127,172.211.123.249,0.09
12:44:58,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:44:58,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:44:58,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:44:59,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:44:59,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:00,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:00,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:00,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:00,NEW_THREAT,Low,192.168.0.127,192.168.0.255,0.09
12:45:01,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:01,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:01,NEW_THREAT,Low,192.168.0.127,192.168.0.255,0.09
12:45:02,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:02,NEW_THREAT,Low,192.168.0.127,192.168.0.255,0.09
12:45:02,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:03,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
12:45:03,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:04,NEW_THREAT,Low,192.168.0.127,45.140.147.90,0.09
12:45:04,NEW_THREAT,Low,45.140.147.90,192.168.0.127,0.09
